sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,q1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
11,1,855.764538166113,1,0,291750.942524772,291751.989598569,1,8,1,0,1,36,5,16000770,43651858,25371550,35391919,0,0,0,0,0,11810719,4190051,0,0,0,30900419,0,0,0,1151020,11600419,0,0,0,1111110,0,0,21110319,3150121,0,0,0,21000309,4120010,0,0,0,4171200,2010200,0,-4090200
11,2,1327.63467077166,0,0,291753.98963514,291755.036698157,1,8,1,0,0,5,10,39423108,0,136885187,100473519,11610019,1201051,0,0,-4200110,0,11610909,10801019,0,0,0,0,0,0,0,0,0,0,2191001,0,40100509,41101919,31110409,1170140,21211209,0,0,2040131,4141011,1150130,0,1140200,21300519,40700519,30001009,0
11,3,945.92547492357,1,1,291757.519077339,291758.566144976,1,8,1,1,0,12,0,2120211,7472252,7271021,2121070,0,1060050,0,0,0,0,0,0,1060161,0,0,-1161100,0,0,0,0,4160011,2151141,0,4161021,3110000,0,0,0,0,0,0,0,0,0,0,0,2121070,0,0,0
11,4,600.212438672315,0,0,291760.577938255,291761.625003967,1,8,1,1,0,11,10,147245704,86452410,34731541,20270400,0,21701819,0,31010519,40910509,11600219,31710919,10311719,0,0,-2180041,0,41700809,1070051,0,41501509,0,0,0,0,3081061,1050161,0,30600319,0,0,0,2180101,0,0,3070200,0,3000070,11000019,0,1020010
11,5,1457.0427624858,1,0,291763.31918559,291764.366214731,1,8,1,1,1,23,20,46963247,84768147,167470083,136257147,1200050,0,0,0,3151050,10900619,0,10410819,21300709,2021051,11211119,4020071,12010809,0,3101150,21100619,20801519,10501809,30501709,0,11101509,21601509,-1140110,20812009,40900809,30100419,11312009,30000919,0,20711519,30401509,0,31610609,1081061,2041111,20410419
11,6,1433.20674973074,1,0,291766.989786045,291768.036843672,1,8,1,1,1,1,20,90266988,133005877,104306555,188395233,-4070160,10401119,10501909,0,1070091,20001309,41101219,0,3121181,3160050,40100619,0,40311619,11611919,0,3191050,30510419,4120201,10301319,10010919,0,41501919,0,1071170,10110209,0,31311019,0,40111219,10701419,30800619,1160130,40110609,31800809,12000009,21710419
11,7,786.082754551899,1,0,291770.542755133,291771.589826235,1,8,1,0,1,22,0,3090001,6341363,5211111,7180290,0,0,0,0,0,0,0,0,3090001,0,2030131,0,0,0,1190081,3121151,0,0,0,0,0,-3190091,0,0,2021020,0,0,0,3130130,0,4050160,0,0,0,0,0
11,8,1153.17690756638,0,0,291773.401623055,291774.448682993,1,8,1,0,0,3,20,121859256,158528084,97321837,180298745,0,41800109,-3021070,1151101,30810509,3161040,20201909,10012009,11701509,11600709,30601209,10611119,30110419,2070101,30010909,11110719,2001080,30411819,0,2120000,0,41800519,21800209,0,0,31601109,0,3080100,40702019,1091180,41511109,11901709,41501209,0,40511419,0
11,9,1103.23938669171,0,0,291776.801671791,291777.84871864,1,8,1,1,0,14,10,59425939,69294697,16012980,115213056,1111110,2001041,0,4101160,0,0,0,31911519,20301109,0,0,3061030,41400319,-1170060,3141170,10510409,0,10011709,2000080,4011191,0,0,0,0,0,0,10001709,0,0,21911319,0,21800109,0,0,40800119,30701509
11,10,714.245574548841,1,0,291780.001691347,291781.04874936,1,8,1,1,1,13,10,36075639,8543362,128215977,68007027,0,0,0,0,3041010,0,1121011,10601809,21311809,0,1101040,1080150,-3181111,3181061,0,0,0,0,0,30200519,3191021,21712019,41510409,0,31602009,0,0,11401619,20011409,0,4171181,21311209,0,0,11111609,0
