sub_id_2,Trial_recog,RT_recog,Resp_recog,Hit_recog,Confidence_recog,q1,q1_1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
25,1,6925.42554519605,1,1,3,0,99999,50,1,1,0,14,9,20211619,25441599,73812037,113824666,0,0,0,0,0,0,0,0,20211619,0,0,0,21301419,-4140180,0,0,0,0,0,0,0,21601009,11710009,0,0,40501019,0,0,30211319,11001219,30601609,42010519,0,0,0,0
25,2,7563.86804860085,1,0,5,0,99999,50,1,0,0,7,19,55331379,166546065,195954874,156425874,0,0,10811209,0,0,0,-3120151,0,41400019,11210309,31211309,40101819,0,42011619,0,0,0,42011009,0,40310219,0,21911609,41800219,40111109,10910109,40911609,0,0,0,20211019,21701719,0,41710409,41401809,21400109,10000809
25,3,6846.52094799094,1,1,4,0,99999,50,1,1,0,2,31,221000823,208246002,197244512,187859203,30001909,-4061031,20700219,21101809,32000809,21311309,20601619,40110609,31111509,11210619,11901309,41810709,40001009,0,21400609,40310819,20600009,21010919,10510709,21600009,41400019,0,10810219,10500019,31400009,30611809,40411719,41310419,0,0,31611109,31502019,10610709,11911719,40101309,20811919
25,4,4558.32150974311,0,1,4,0,99999,50,1,0,1,17,3,62101918,4000020,0,11700719,0,32000509,0,0,0,0,0,30101409,0,0,0,0,0,0,0,0,-4000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700719,0,0,0,0
25,5,4196.5511291055,1,0,2,0,99999,50,1,0,1,23,3,40510009,0,2091191,63102828,40510009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2091191,0,0,0,0,41601509,0,0,0,0,0,21501319,0,0
25,6,2993.93692612648,1,1,4,0,99999,50,1,1,0,13,19,175316675,149036845,74503956,115331166,0,41611519,20101809,0,40401319,31700109,0,41501919,0,31201719,0,21211509,-1000161,31512019,0,32000009,21710119,10401309,12000209,40501009,0,0,10901519,0,0,0,11101219,0,0,0,21010419,12010119,0,41110309,41200319,0
25,7,5297.8628501296,0,0,3,0,99999,50,1,1,1,27,3,30510019,0,4181190,41903628,30510019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4181190,0,31901709,0,0,10001919,0,0,0,0
25,8,6619.49858628213,1,0,4,0,99999,50,1,0,1,3,31,182218134,189969412,177143093,260155931,21101709,0,-3060131,10211319,31211709,21710419,41611719,31900019,21411109,31301309,12011319,20511009,21210219,40501309,11811519,11711509,0,40911219,30910209,20410019,0,30711209,21400609,20710109,41700719,0,11300219,11000319,41810219,41910309,11711509,30010019,30301119,31001119,31500809,30910509
25,9,5643.78509693779,0,1,4,0,99999,50,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20611691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10,5917.22469020169,1,0,3,0,99999,50,1,0,1,28,9,60511028,96418365,33622928,1001131,0,0,0,0,0,0,40501019,20010009,0,21601909,30401909,21600919,0,11111619,0,0,0,11702009,22011919,0,0,0,0,0,0,11611009,0,-1001131,0,0,0,0,0,0,0,0
25,11,7058.31919994671,0,1,4,0,99999,50,1,0,0,26,9,92232356,40802228,67493798,11100309,30010209,0,0,31110309,0,0,20600419,10511419,0,0,20601409,20200819,0,0,0,0,0,0,0,0,0,0,0,21911609,0,-4080180,41502009,0,11100309,0,0,0,0,0,0,0
25,12,7023.48972298205,0,1,5,0,99999,50,1,0,0,19,19,102932866,86323685,108363856,87633665,0,21501419,20010019,0,30810419,0,30611009,0,0,0,0,0,10800119,0,12001919,21311009,10600419,31610219,-3130011,10000009,0,0,11710309,20511809,31600109,31411609,0,0,22011809,11710309,21610119,0,21701419,0,10600009,0
25,13,3378.81352263503,0,0,5,0,99999,50,1,1,0,9,3,22342619,0,61512018,0,0,0,0,0,0,21211509,0,0,-1131110,0,0,0,0,0,0,0,0,0,0,0,30100109,0,0,0,0,0,31411909,0,0,0,0,0,0,0,0,0
25,14,4573.12639534939,0,1,3,0,99999,50,1,0,0,10,3,10901619,42090910,21700209,0,0,0,0,0,0,0,0,10901619,0,-1080001,0,41010909,0,0,0,0,0,0,0,0,21700209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,15,7634.5240555238,1,1,4,0,99999,50,1,1,1,1,31,159947765,190130912,257948012,259532931,-2031091,31811319,0,0,21101209,30501319,41601109,22000409,10901309,30601109,21701819,11201119,11911109,41510809,41601519,0,11401519,20201909,40011119,40811709,0,21000519,21911209,31310219,40301219,31401009,31201009,10401719,40011109,40111619,21700809,22001709,31501119,21801819,40901919,31101109
25,16,6648.04239652585,0,0,3,0,99999,50,1,1,1,4,9,13751060,122604766,10110309,74503737,0,0,0,-3041051,10710009,0,0,0,0,0,0,41302009,0,30200719,0,40500119,0,10601919,0,0,0,0,0,10110309,0,0,0,10702019,0,0,0,31801709,32000009,0,0,0
25,17,3918.92814892344,0,1,1,0,99999,50,1,0,0,30,31,245248002,177057573,269361341,183388203,30110309,11511419,11700319,30101909,40301019,41201709,40210709,40110609,0,32010319,21111909,30611909,10011709,0,21700909,20410809,0,41200009,31111119,41801909,20101219,21400519,10911009,40811909,30111219,41911019,31201419,11911419,31910309,-4010120,0,30911219,30311509,41911809,11010609,21411209
25,18,3646.24462195206,0,1,3,0,99999,50,1,0,0,32,9,42212428,31010809,51724547,64832957,0,0,0,0,31501919,0,10710509,0,0,0,0,0,31010809,0,0,0,0,0,0,0,0,20711719,20901319,0,10111509,0,0,30000309,11700219,0,0,-2121010,0,0,21011419,0
25,19,3801.06188799255,1,0,4,0,99999,50,1,0,1,29,31,207646632,228450721,157044293,187850054,32010119,40401909,10900619,11411019,0,20900309,31101119,30010419,30911119,21000609,30102019,21402009,41010109,31710319,20902019,31401019,20011909,10910709,30910409,40710209,21500919,0,21200519,20700309,10610919,11411009,0,11812019,-2090151,10110319,0,20712019,40701909,31101319,30710909,40611409
